Land;Region;Name;Strasse;PLZ;Ort;Telefon;E-Mail;Web
Schweiz;LU;Baumli Sport GmbH;Sempacherstrasse 12;6280;Hochdorf;041 910 10 63;info@baumli-sport.ch;www.baumli-sport.ch
Schweiz;SG;Beat Sport AG;Churerstrasse 175;9470;Buchs;081 756 70 50;beat-sport@bluewin.ch;beat-sport.ch
Schweiz;TI;Belotti Moda-Sport SA;Via Cittadella 22;6600;Locarno;091 751 66 02;info@belottisport.ch;www.belotti.ch
Schweiz;VS;Berg - Schneesportcenter Oberwallis;Bielstrasse 8;3995;Ernen;027 971 25 25;heinz.seiler@rhone.ch;www.schneesportcenter.ch
Schweiz;GR;Bergbahnen Disentis AG;Postfach;7180;Disentis;081 920 30 40;;www.disentis3000.ch
Schweiz;ZG;BERGE PUR GmbH ;Rathausstrasse 9;6340;Baar;041 761 20 66;info@bergepur.ch;www.bergepur.ch
Schweiz;BE;Berger Schuhe & Sport;Haldenweg 1;3510;Konolfingen;031 791 06 53;info@berger-schuhe.ch;www.berger-schuhe.ch
Schweiz;SO;Bergsport Bordogna GmbH;Dornacherplatz 15;4500;Solothurn;032 621 15 30;bergsport@bordogna.ch;www.bordogna.ch
Schweiz;OW;Berlinger Sport-Treff;Lindenstrasse 2;6060;Sarnen;041 660 04 49;;www.sporttreff.ch
Schweiz;BE;Bernet Sport AG;Hauptstrasse;3818;Grindelwald;033 853 13 09;bernet-sport@bluewin.ch;www.bernet-sport.ch
Schweiz;GR;Bieler Sport;Versamerstrasse 7;7402;Bonaduz;081 650 20 50;bielersport@netcomag.ch;www.bielersport.ch
Schweiz;SZ;Bike & Climb Up;Riedmattli 1;6423;Seewen;041/813 14 14;info@bikeandclimbup.ch;www.bikeandclimbup.ch
Schweiz;VS;Bikes Evasion Sports;Route du Village;1908;Riddes;027 306 79 79;bikevasion@sunrise.ch;www.bike-evasion-riddes.ch
Schweiz;GL;bikestop+station;Obere  Allmeind 2a;8755;Ennenda;055 640 27 75;shop@stations.ch;stations.ch
Schweiz;GR;Blaesi Sport und Mode AG;Via Principala 62;7078;Lenzerheide;081 384 11 21;info@blaesisport.ch;www.blaesisport.ch/
Schweiz;BE;Blue Wave Sportshop;Dorfstrasse 29;3550;Langnau im Emmental;034 402 60 24;;www.bluewaveshop.ch
Schweiz;SG;Bossart Sport Wil;Toggenburgstrasse 46;9500;Wil;071 911 22 73;;www.bossart-sport.ch
Schweiz;VS;Bournissen Sports ;;1986;Arolla;027 283 14 54;basile.bournissen@span.ch;bournissen-sports.skiset.com
Schweiz;BE;Brand Sport + Mode AG;Palacestrasse;3780;Gstaad;033 744 17 75;brand.sport@bluewin.ch;www.brandsport.ch
Schweiz;VS;Break Point ;Napoleonstrasse 10;3930;Visp;027 946 64 60;break-point@rhone.ch;www.break-point.ch
Schweiz;VS;Briand Sport AG;Haus City;3954;Leukerbad;027 470 14 72;mail@briandsport.ch;www.briandsport.ch
Schweiz;VS;Bugaboo Sport ;Rue du Pont Suspendu 4;1700;Fribourg;026 322 61 39;info@bugaboo.ch;www.bugaboo.ch
Schweiz;GR;Bünda Sport;Museumstrasse 2;7260;Davos Dorf;081 416 72 22;buendasport@bluewin.ch;www.buendasport.ch
Schweiz;VS;Bürcher Sport ;Alteschpromenade 112;3987;Riederalp;027 928 62 50;buerchersport@rhone.ch;www.rhone.ch/buercher
Schweiz;ZH;C & M Sport;Dammstrasse 21;8708;Männedorf;041 920 55 50;;www.cmsport.ch
Schweiz;VS;CALAME SPORTS;Rue Neuve 3;2302;La Chaux-de-Fonds;032 968 24 40;calame.sports@bluewin.ch;www.calamesports.ch
Schweiz;TI;Camponovo Sport ;Via Cantonale;6802;Rivera;091 946 11 74;info@camponovosport.ch;www.camponovosport.ch
Schweiz;GR;Caprez Sport;Hauptstrasse 14a;7240;Küblis;081 332 36 36;caprez@caprez-sport.ch;www.caprez-sport.ch
Schweiz;GR;Carmenna Sport AG;Äussere Poststrasse;7050;Arosa;081 377 12 05;;www.carmennasport.ch
Schweiz;FR;Castella-Sports SA;Grand-Rue 17;1630;Bulle;026 912 76 47;info@castella-sport.ch;www.castella-sport.ch
Schweiz;BE;Central Sport Viktor Gertsch AG;Postfach;3823;Wengen;033 855 23 23;centralsport@wengen.ch;www.centralsport.ch
Schweiz;VS;CESAR SPORT RENT;;3906;Saas Fee;027 957 14 16;saas-fee@cesarsport.ch;www.cesarsport.ch
Schweiz;VS;Chabloz Sports;Imm. Barmaz B;3961;St.-Luc;027 475 16 18;chabloz-sport@swissonline.ch;www.chabloz-sports.ch
Schweiz;VS;Chevrier Sports;;1984;Les Haudères;027 283 22 82;;www.chevriersports.ch
Schweiz;OW;Cristallina Sport Rental ;Dorfstrasse 39;6390;Engelberg;041 637 11 78;info@cristallina-sport.ch;www.cristallina-sport.ch/
Schweiz;VD;Dätwyler Sports;Place de la Gare;1884;Villars-sur-Ollon;024 495 23 85;mail@daetwyler-sports-villars.ch;www.daetwyler-sports-villars.ch
Schweiz;NE;Défi Montagne;Grand-Rue 2;2034;Peseux;032 731 14 39;lausanne@passemontagne.ch;www.defi-montagne.ch
Schweiz;FR;Divisports SA ;Route du Verdel 22;1630;Bulle;026 912 10 91;;www.divisport.ch
Schweiz;AG;Döbeli Sport AG ;Unterdorf 15;5703;Seon ;062 775 11 53;;www.doebeli-sport.ch
Schweiz;GR;Dörfji-Sport;Landstrasse 15;7252;Klosters Dorf;081 422 44 50;doerfjisport@bluewin.ch;www.doerfjisport.ch
Schweiz;AI;Dörig Sport;Dorf 13;9057;Weissbad;071 799 11 12;;www.doerigsport.ch
Schweiz;VS;Dorsaz-Sport;Talstation Klein Matterhorn;3920;Zermatt;027 966 38 10;dorsaz-sport@swissonline.ch;www.dorsaz-sport.ch
Schweiz;VS;DO-Sports;;3961;Grimentz;027 475 17 88;do-sports@espaceinfo.ch;www.do-sports.ch
Schweiz;FR;Dupasquier Sport;Au Briez;1628;Vuadens;026 912 74 12;;www.dupasquier-sports.ch
Schweiz;BE;Edelweiss Sport AG;Les Arcades;3780;Gstaad;033 744 50 05;info@edelweisssport.ch;www.edelweisssport.ch
Schweiz;ZH;eglisport ag;Unterer Graben 11;8400;Winterthur;052 203 37 07;iren.rauber@eglisport.ch;www.egli-sport.com
Schweiz;ZG;Ehrler Sport;Baarerstrasse 23;6300;Zug;041 711 92 48;rbuehler@ehrler-sport.ch;www.ehrler-sport.ch
Schweiz;LU;Eiselin Sport  AG;Obergrundstrasse 70;6000;Luzern 4;041 248 01 01;eiselin@eiselin-sport.ch;www.eiselin-sport.ch
Schweiz;BE;Eiselin Sport  AG;Monbijoustrasse 20;3011;Bern;031 381 76 76;eiselin@eiselin-sport.ch;www.eiselin-sport.ch
Schweiz;BS;Eiselin Sport  AG;Güterstrasse 97;4053;Basel;061 331 45 39;eiselin@eiselin-sport.ch;www.eiselin-sport.ch
Schweiz;ZH;Eiselin Sport  AG;Stampfenbachstrasse 138;8006;Zürich;044 362 48 28;eiselin@eiselin-sport.ch;www.eiselin-sport.ch
Schweiz;VS;El Cap SA / Anorak;Bahnhofstrasse 20;3920;Zermatt;027 968 17 77;elcap@axiom.ch;www.anorak-zermatt.ch
Schweiz;GR;Ettinger Sport AG;Promenade 153;7260;Davos Dorf;081 410 12 12;ettingersport@bluewin.ch;www.ettinger.ch
Schweiz;VS;Evasion Sports - Loisirs ;Place de Savoleyres;1936;Verbier;027 771 20 47;evasion@verbier.ch;www.loisirs.ch
Schweiz;GR;Exodus;Obere Gasse 48;7000;Chur;081 252 47 94;shop@exodus.ch;www.exodus.ch
Schweiz;BE;Fahner Sport GmbH;Twing;6084;Hasliberg Wasserwendi;033 971 12  29;fahner-sport@bluemail.ch;www.fahner-sport.ch
Schweiz;VS;Fleutry Sports ;;1923;Les Marécottes;027 761 15 91;fleutry-olivier@hotmail.com;www.fleutry-sport.ch
Schweiz;VS;Follomi Sports;Rue du Scex 45;1950;Sion;027 323 34 71;;www.follomi.ch
Schweiz;VS;Fragniere Sports;Résidence les Diablerets;1993;Veysonnaz;027 207 12 77;contact@fragnieresports.ch;www.fragnieresports.ch
Schweiz;VS;François-Sports;Grand-Rue 62;1110;Morges;021 801 33 33;fsports@worldcom.ch;www.francois-sports.ch
Schweiz;BE;Frautschi Sports AG ;Waldmattenstrasse;3778;Schönried;033 744 16 49;info@frautschi.ch;www.frautschi.ch
Schweiz;GL;Fridolin Sport;Bankstrasse 46;8750;Glarus;055 640 31 47;info@fridolin-sport.ch;www.fridolin-sport.ch
Schweiz;SG;Frigg Sport ;Alte Schlossi;8718;Schänis;055 283 43 82;info@bergschule.ch;www.bergschule.ch
Schweiz;GR;Fullmoons GmbH;Promenade 110;7270;Davos Platz;081 420 14 77;shop@fullmoons.ch;www.fullmoons.ch
Schweiz;AR;G1 SPORT GMBH;Dorfplatz 15;9056;Gais;071 790 04 01;info@g1-sport.ch;www.g1-sport.ch
Schweiz;VS;Gaby Sport;imm. Eh l'Idée;1997;Haute-Nendaz;027 288 18 43;gabysports@bluewin.ch;www.gabysports.ch
Schweiz;BE;Gafner Bergsport;Untere Hauptgasse 18;3601;Thun;033 222 43 56;stockhorn.syle@bluewin.ch;www.gafner-bergsport.ch
Schweiz;VS;Genolet-Sports SA;Le Cervin;1988;Thyon-les-Collons;027 281 18 46;info@genoletsports.ch;www.genoletsports.ch
Schweiz;GR;Gisler Sport;Tschuggen Grand Hotel;7050;Arosa;081 378 99 44;;www.gislersport.ch
Schweiz;VS;Glacier-Sport;;3906;Saas Fee;027 957 18 65;glacier-sport@bluewin.ch;www.glaciersport.ch
Schweiz;VS;Glacier-Sport;Bahnhofstrasse;3920;Zermatt;027 968 13 00;glacier.intersport@bluewin.ch;www.glacier-intersport.ch
Schweiz;VS;Glacier-Sport;Bahnhofstrasse 15;3900;Brig;027 923 46 46;schaller@bluewin.ch;www.glaciersport.ch
Schweiz;VS;Glacier-Sport;;3925;Grächen;027 956 12 52;glacier.sport@bluewin.ch;www.glaciersport.ch
Schweiz;BE;Glatthard Sport AG;Bahnhofstrasse 3;3860;Meiringen;033 972 52 72;mglatthard@access.ch;www.glatthardsport.ch
Schweiz;VS;Gliss-rando;;1923;Les Marecottes;027 761 12 06;;www.glissrando.ch
Schweiz;SG;Gonzen Sport & pro-vita-center;Tiefriet;7320;Sargans;081 723 78 38;info@gonzensport.ch;www.gonzensport.ch
Schweiz;GR;Gotschna Sport AG;Alte Bahnhofstrasse 5;7250;Klosters;081 422 39 80;sportshop@gotschnasport.ch;www.gotschnasport.ch
Schweiz;BE;Graf Sport AG;Postfach 154;3818;Grindelwald;079 656 23 60;info@graf-sportrent.ch;www.graf-sportrent.ch
Schweiz;GR;Gruber Sport & Co.;;7504;Pontresina;081 842 62 36;andy@gruber-sport.ch;www.gruber-sport.ch
Schweiz;ZH;Gubler-Sport;Bahnhofplatz 9;8910;Affoltern am Albis;01 761 78 21;gublersport@freesurf.ch;www.gubler-sport.ch
Schweiz;SZ;Gwerder Sport;Poststrasse 1;6436;Muotathal;041 830 18 88;;www.gwerder-sport.ch
Schweiz;SH;Hallauer Sport;Zentralstrasse 43;8212;Neuhausen;052 672 75 36;hallauersport@hotmail.com;www.hallauersport.ch
Schweiz;GR;Hangl Sport u. Mode;Dorfstrasse 9;7563;Samnaun Dorf;081 861 93 36;sport+mode@hangl.ch;www.hangl.com
Schweiz;NE;Happy Sports;Case postale 26;1934;Le Châble;027 776 15 44;happysports@netplu;www.happysports.ch
Schweiz;VS;Hardcore Sports ;Galerie Alpina;1936;Verbier;027 771 78 20;hardocre@axiom.ch;www.hardcore-verbier.ch
Schweiz;BE;Haueter Sport & Fashion;Bahnhofplatz 2;3110;Münsingen;031 722 44 44;haueter-sport@swissonline.ch;www.hauetersport.ch
Schweiz;GE;Haute Pression Sports;Place du Village;1660;Château d'Oex;026 924 56 53;haute_pression@bluewin.ch;/www.hautepression.ch
Schweiz;VD;Hefti Sports ;pl. du Marché les Oiselets;1854;Leysin;024 494 16 77;info@heftisports.ch;www.heftisports.ch
Schweiz;BE;Heiniger Sport AG;Hirschenmarkt ;3250;Lyss;032 387 70 50;office@heinigersport.ch;www.heinigersport.ch
Schweiz;GR;Heini's Skischirurgie GmbH;Bahnhofstrasse;7323;Wangs;081 723 05 92;heini@skichirurgie.ch;www.skichirurgie.ch
Schweiz;ZH;Helmi Sport AG ;Albisstrasse 20;8134;Adliswil;01 710 20 70;info@helmi-sport.ch;www.helmi-sport.ch
Schweiz;UR;Herger Sport ;Lehnplatz 11;6460;Altdorf ;041 870 79 50;info@hergersport.ch;www.hergersport.ch
Schweiz;VS;Hisport ;Haus Rotondo;3999;Oberwald;027 973 11 03;info@hisport.ch;www.hisport.ch
Schweiz;VS;Holiday-Sport SA;Résidence Opaline;1874;Champéry;024 479 15 26;info@holidaysport.ch;www.holidaysport.ch
Schweiz;AG;Huwiler-Sport AG;Aettenbergstrasse 6;5630;Muri;056 664 33 51;info@huwiler-sport.ch;www.huwiler-sport.ch
Schweiz;LU;Huwyler AG ;Fläcke 29;6215;Beromünster;041 930 31 39;info@huwylerag.ch;www.huwylerag.ch
Schweiz;UR;Imholz-Sport AG ;Klausenstrasse 142;6463;Bürglen;041 874 00 90;jimholz@imholzsport.ch;www.imholzsport.ch
Schweiz;UR;Indergand Sport;Gotthardstrasse 106;6472;Erstfeld;041 880 25 85;;www.indergandsport.ch
Schweiz;BE;Ingold Sport + Mode AG;Kirchgasse 6;3360;Herzogenbuchsee;062 961 12 45;inglodsport@bluewin.ch;www.ingold-sport.ch
Schweiz;GR;Intersport Curschellas ;Via Alpsu 67;7188;Sedrun;081 949 11 73;lcurschellas@bluewin.ch;www.curschellas.ch
Schweiz;LU;Intersport Felder AG;Rothornstrasse 14;6174;Sörenberg;041 488 12 49;info@intersportfelder.ch;www.intersportfelder.ch
Schweiz;FR;Intersport Zürcher AG;Schwandistrasse 23;3714;Frutigen;033 671 26 29;intersport-zuercher@bluewin.ch;www.sportbudget.ch
Schweiz;VD;Jack Sports ;;1524;Marnand;026 668 20 05;;www.jacksports.ch
Schweiz;VS;Julen Sport ;Hofmattstrasse;3920;Zermatt;027 967 43 40;juliensport@rhone.ch;www.julensport.ch
Schweiz;UR;Just for Freaks ;Gotthardstrasse 84;6460;Altdorf;041 871 15 38;info@justforfreaks.ch;www.justforfreaks.ch
Schweiz;ZG;Kaktus Outdoor AG ;Baarerstrasse 49;6300;Zug;041 710 22 61;;www.kaktus-outdoor.ch
Schweiz;BL;Kathriner Sport ;Gelterkinderstrasse 30;4450;Sissach;061 971 39 41;info@kathrinersport.ch;www.kathrinersport.ch
Schweiz;BE;Kaufmann Sport ;;3818;Grindelwald;033 853 13 77;info@kaufmann-sport.ch.ch;www.kaufmann-sport.ch
Schweiz;SZ;KS-Sport AG;Bahnhofstrasse 6;8854;Siebnen;055 440 21 20;ks-sport@bluewin.ch;www.ks-sports.ch
Schweiz;SG;Kuster Sport AG;St. Gallerstrasse 72;8716;Schmerikon;055 286 13 73;info@kustersport.ch;www.kustersport.ch
Schweiz;VD;La Boit'àskis ;Rue de Médran 25;1936;Verbier;027 771 34 87;boitaskis@verbier.ch;www.boitaskis.com
Schweiz;VS;Là-Haut;rue de l'industrie 54;1950;Sion;027 321 30 31;info@la-haut.ch;www.la-haut.ch
Schweiz;AR;Lutz Sport;St. Gallerstrasse 53;9101;Herisau;071 352 36 77;info@lutzsport.ch;www.lutzsport.ch
Schweiz;BE;Makalu Sport GmbH;Rawilstrasse 6;3775;Lenk;033 733 18 42;info@makalu-sport.ch;makalu-sport.ch
Schweiz;VS;Mariéthoz Sports SA;Casa postale 252;1997;Haute-Nendaz;027 288 23 53;info@mariéthoz.com;www.mariethoz.com
Schweiz;SZ;Marty Sport;Sonnmattstrasse 2;8842;Unteriberg;055 414 13 10;marty.sport@bluewin.ch;www.marty-sport.ch
Schweiz;VS;Matterhorn Sport;Bahnhofstrasse 78;3920;Zermatt;027 967 29 56;info@matterhornsport.ch;www.matterhornsport.ch
Schweiz;BE;Matti Papeterie Spiel & Sport AG;Bahnhofstrasse 4;3770;Zweisimmen;033 722 02 02;mattisport@bluewin.ch;www.intersport-matti.ch
Schweiz;GR;Meini Sport u. Mode;Talstation Crap Sogn Gion;7032;Laax;081 936 62 00;gruber@meini.ch;www.meini.ch
Schweiz;SZ;Meli Sport;Herrengasse 14;6430;Schwyz;041 811 60 10;info@melisport.ch;www.melisport.ch
Schweiz;GL;Menzi Sport;Menziguet;8757;Filzbach;055 614 11 15;;www.menzi-sport.ch
Schweiz;GR;Menzli Sport AG Ilanz;Center Mundaun;7130;Ilanz;081 920 08 80;menzlisport@swissonline.ch;www.menzlisport.ch
Schweiz;SG;Metzger Sport AG;Schomattenstrasse 8;9630;Wattwil;071 988 71 61;spome@sport-metzger.ch;www.sport-metzger.ch
Schweiz;UR;Meyer's Sporthaus AG;Gotthardstrasse 93;6490;Andermatt;041 887 12 32;meyer.sport@bluewin.ch;www.meyers-sporthaus.ch
Schweiz;FR;Mondo Sport;Bernstrasse 32;3280;Murten;026 670 32 72;info@mondosport.ch;www.mondosport.ch
Schweiz;VS;Montagne-Show ;Place de curala;1934;Le Châble;027 776 10 10;mayeyvan@hotmail.com;www.montagneshow.ch
Schweiz;VS;Moret Sports SA;Place de Plaisance;1920;Martigny;027 722 59 28;info@moretsports.ch;www.moretsports.ch
Schweiz;VS;Morgins-Sports ;Résidence du Village;1875;Morgins;024 477 11 79;info@morgins-sport.com;www.morgins-sports.com
Schweiz;VS;Mountain Air SA;Rue de Médran;1936;Verbier;027 771 62 31;mountainair@dplanet.com;www.mountainairverbier.com
Schweiz;GR;Mountain Fantasy AG;Flora-Center;7018;Flims Waldhaus;081 936 70 77;bergsport@mountain-fantasy.ch;www.mountain-fantasy.ch
Schweiz;GR;Mountain Shop;Via Maistra;7504;Pontresina;081 842 64 37;info@mountainshop.ch;www.mountainshop.ch
Schweiz;VS;Neige Aventure SA;Immeuble Les Chévaries;1997;Haute-Nendaz;027 288 31 31;info@cactus.ch;www.onthemountain.ch
Schweiz;GR;Neue Albeina Sport AG;Landstrasse 26;7252;Klosters Dorf;081 422 39 59;info@albeina-sport.ch;www.albeina-sport.ch
Schweiz;GR;New Rada ;Plazzet 16;7503;Samedan;;;www.newrada.ch
Schweiz;GR;Norbert Joos Bergsport AG;Comercialstrasse 24;7000;Chur;081 253 74 14;joos@spin.ch;www.bergsport.ch
Schweiz;ZG;Ochsner Sport;Baarerstrasse 16;6300;Zug;041 710 74 50;info@ochsner-sport.ch;www.ochsner-sport.ch
Schweiz;VS;Ochsner Sport;Rue de la Dixance 6 ;1950;Sion;027 323 84 84;info@ochsner-sport.ch;www.ochsner-sport.ch
Schweiz;VD;Ochsner Sport;En Pré-Neuf ZI;1844;Villeneuve;021 960 48 40;info@ochsner-sport.ch;www.ochsner-sport.ch
Schweiz;VS;Ochsner Sport;rte Cantonale 11 ;1964;Conthey;027 346 97 00;info@ochsner-sport.ch;www.ochsner-sport.ch
Schweiz;GE;Ochsner Sport;Rue du marché 11;1204;Genève;022 310 89 68;info@ochsner-sport.ch;www.ochsner-sport.ch
Schweiz;FR;Ochsner Sport;rue du Château-d'en-Bas 6;1630;Bulle;026 912 01 95;info@ochsner-sport.ch;www.ochsner-sport.ch
Schweiz;VD;Ochsner Sport;av. du Gén. Guisan 15;1800;Vevey;021 923 87 17;info@ochsner-sport.ch;www.ochsner-sport.ch
Schweiz;ZH;Ochsner Sport;Löwenstrasse 31;8001;Zürich;044 212 80 40;info@ochsner-sport.ch;www.ochsner-sport.ch
Schweiz;SZ;Odermatt Sport ;Ringstrasse;6433;Stoos;041 811 16 01;info@odermatt-sport.ch;www.odermatt-sport.ch
Schweiz;BE;Oester Sport AG;Dorfstrasse 25;3715;Adelboden;033 673 16 25;info@oestersport.ch;www.oestersport.ch
Schweiz;BE;Overlap AG ;Gstaadstrasse ;3792;Saanen;033 748 66 00;info@overlap.ch;www.overlap.ch
Schweiz;FR;OXYGENE Montagne;Route de Ferpicloz 8;1731;Ependes;026 413 37 70;info@oxygene-montagne.ch;www.oxygene-montagne.ch
Schweiz;GR;PaarSenn Sport und Mode;Promenade 159;7260;Davos Dorf;081 410 10 10;info@paarsennsport.ch;www.paarsennsport.ch
Schweiz;SG;PAIS-SPORT AG;Favrestrasse 7;9016;St. Gallen;071 288 20 25;pais-sport@bluewin.ch;www.pais-sport.ch
Schweiz;GR;Peer Sport ;Talstrasse 62;7563;Samnaun Ravaisch;081 868 52 60; peer.ravaischa@datacomm.ch;www.peersport.com
Schweiz;VS;Perraudin Sports ;;1918;La Tzoumaz;027 306 42 60;perraudinsport@bluewin.ch;www.perraudinsports.ch
Schweiz;AG;Peterhans Sport AG;Weite Gasse 33-35;5401;Baden;056 222 05 15;info@peterhanssport.ch;www.peterhans-sport.ch
Schweiz;SG;Pizol Sport AG;Bachstrasse 12;8887;Mels;081 723 64 80;;www.pizolsport.ch
Schweiz;BE;Pollux Sport AG;Rudenz 32;3860;Meiringen;033 971 43 18;pollux@castor.ch;www.castor.ch
Schweiz;NE;Pro Neige;Bas du Télésiège;2115;Buttes;032 860 11 60;aimonetti@bluewin.ch;www.proneige.ch
Schweiz;ZH;Radical Sports;Mythenquai 353;8038;Zürich;044 483 00 37;office@radical-sports.com;www.radical-sports.com
Schweiz;VD;Raoul Sports;Rue Neuve 4;1260;Nyon;022 361 38 35;raoulsport@bluewin.ch;www.raoulsport.ch
Schweiz;VD;Richard Sports Sàrl;Rte des Ecovets;1885;Chesières;024 495 25 44;jrichard@dplanet.ch;www.richard-sports.ch
Schweiz;VS;Rip Zone;Furkastrasse 27;3900;Brig;079 213 96 72;;www.rip-zone.ch
Schweiz;LU;Rockstore GmbH;Moosstrasse 8;6003;Luzern;041 242 10 20;contact@rockstore.ch;www.rockstore.ch
Schweiz;VS;Rossier Sports;Immeuble Evouettaz;1969;St. Martin;027 281 19 57;rossier-sport@bluewin.ch;www.rossier-sports.ch
Schweiz;SG;Roth Bergsport u. Trekking GmbH;Linsenbühlstrasse 77;9000;St. Gallen;071 222 40 41;;www.rothbergsport.ch
Schweiz;VS;Roux Philippe Sports;Place Centrale;1936;Verbier;027 771 47 12;ph.roux@verbier.ch;www.philippe-roux.ch
Schweiz;ZH;Ruedi Bergsport;Birmensdorferstrasse 55;8004;Zürich;01 241 58 52;info@ruedi-bergsport.ch;www.ruedi-bergsport.ch
Schweiz;TI;Sarci Sport SA;;6718;Olivone;091 872 14 50;info@sarcisport.ch;www.sarcisport.ch
Schweiz;VD;SB Sport Service SA ;Grand Rue 30;1196;Gland;022 364 31 55;sb@sbsport.ch;www.sbsport.ch
Schweiz;VD;Schaefer-Sport SA;Descente St-François 16-18;1003;Lausanne;021 320 22 02;info@schaefer-sports.ch;www.schaefer-sports.ch
Schweiz;LU;Schär Sport ;Bahnhofstrasse 6;6210;Sursee;041 921 26 20;;www.schaersport.ch
Schweiz;BL;Schmutz Sport AG;Hauptstrasse 72;4436;Oberdorf;061 965 93 00;info@schmutzsport.ch;www.schmutzsport.ch
Schweiz;NW;Schön Sport ;Hauptstrasse 34;6386;Wolfenschiessen;041 628 10 27;schoen-sport@susoft.net;www.schoen-sport.net
Schweiz;AG;Schreiber-Sport;Niedermatt 15;4317;Wegenstetten;061 871 02 11;info@schreiber-sport.ch;wwww.schreiber-sport.ch
Schweiz;BE;Schütz Sport und Mode;Kleindorf;3762;Erlenbach;033 681 11 57;info@schuetzsport.ch;www.schuetzsport.ch
